question,answer,info
research,研究、調査,research shows that...（研究は･･･を示している） 名：研究者  The team did research on life on Mars.（そのチームは火星上の生命体についての調査を行った。）
cause,原因、理由、大義,動：を引き起こす cause to do（～に･･･させる）  Air pollution is a major cause of health problems.（大気汚染は健康問題の主要な原因である。）
reason,理由、根拠、理性,形：reasonable（合理的な、手ごろな） 動：判断する  He explained the reason for his absence from school today.（彼は今日学校を欠席した理由を説明した。）
effect,影響、効果、結果,have an effect on（～に影響を与える） 形：effective（効果的な）  Abnormal weather can have a negative effect on people's lives.（異常気象は人々の生活に悪影響を与えかねない。）
influence,影響(力),have an influence on（～に影響を与える） 形：influential（有力な） Exercising has an important influence on one's health.（運動することは人の健康に重大な影響を与える。）
situation,状況、立場,形：situated（位置する） situatonal（状況による） The economic situation of the country is gently improving.（その国の経済状況は緩やかによくなってきている。）
environment,環境,the environment（自然界） 形：environmental（環境保護の） Recycling is an effective way to help the environment.（リサイクルは自然環境を助ける効果的な方法である。）
skill,技能、熟練,形：skilled / skillful（熟練した） She needs to improve her cooking skills to become a chef.（彼女は料理長になるために調理の技能を向上させる必要がある。）
matter,事柄、問題、物質,as a matter of fact（実のところ） 動：重要である She is good at handling difficult matters.（彼女は難しい事柄に対処するのが得意である。）
view,見解、見方、眺め,point of view（観点） 動：を見なす She often expresses her view on welfare for the elderly.（彼女は高齢者のための福祉に関してよく自分の見解を述べる。）
value,価値、価格、価値観,動：を評価する 形：valuable / invaluable Many societies place a high value on education these days.（最近、多くの社会は教育に高い価値を置く。）
species,種、種類,単複同形 an endangered species（絶滅危惧種） Biologists think there is a need to protect endangered species.（生物学者は絶滅危惧種を保護する必要性があると思っている。）
thought,考え、思考,at the thought of（～を考えて） 形：thoughtful / thoughtless Bob gave some thought to applying for the big contest.（ボブはその大きなコンテストに応募することについて一考した。）
knowledge,知識、認識、知っていること,It's common knowledge that...（･･･は常識だ）  Most young adults these days have a good knowledge of computers.（最近の若者の大半はコンピューターに関する豊富な知識を持っている。）
memory,記憶(力)、思い出,have a good memory for（～の記憶力がよい） 動：memorize  She has a good memory for people's faces.（彼女は人の顔に関して記憶力がよい。）
practice,実践、慣習、練習,put into practice（実行に移す） 形：practical（実際的な）  The manager decided to put his new ideas into practice.（部長は自分の新しい考えを実行することに決めた。）
benefit,利益、恩恵、給付金,動：に利益を与える 形：beneficial（有益な）  Both nations will enjoy the benefits of a new free-trade agreement.（両国とも新たな自由貿易協定の利益を享受することになる。）
theory,学説、理論、原理,in theory（理論上は） 形：theoretical（理論的な）  There are many different theories about how cancers occur.（癌がどのように生じるかに関する多くの異なる学説が存在する。）
issue,問題(点)、発行物,the latest issue（最新号） 動：を発行する  The city council will discuss the issue of the new airport.（市議会は新空港の問題を議論する予定である。）
experiment,実験,動：実験をする 形：experimental（実験的な）  The scientist carried out various experiments on plants.（その科学者は植物についてさまざまな実験を行った。）
article,記事、条項、品物,cite articles（記事を引用する）  Researchers often cite articles from this scientific journal.（研究者たちはしばしばこの科学雑誌から記事を引用する。）
focus,焦点、関心の的,in focus（焦点が合って） 動：を集中させる  Reducing poverty is the main focus of the book.（貧困を減らすことがその本の主な焦点である。）
subject,話題、科目、主題、被験者,be subject to（～を受けやすい） 形：subjective（主観的な）  The author's novels often deal with the subject of space travel.（その著者の小説はしばしば宇宙旅行の話題を扱っている。）
project,計画、事業、研究計画,動：を計画する、を見積もる  The mayor set up a project to clean up the city.（市長はその市を美化する計画を立てた。）
quality,質、特質,quality of life（生活の質） 形：qualitative（質的な）  The company is trying to improve the quality of its products.（その会社は自社製品の質を向上させようとしている。）
role,役割、役,play an important role in...（～で重要な役割を果たす）  Laughter plays an important role in strengthening personal relationships.（笑いは人間関係を強化するうえで重要な役割を果たす。）
term,専門用語、条件、期間、学期,in terms of（～の観点から）  Hypertension is a medical term for abnormally high blood pressure.（hypertension（高血圧症）は異常に高い血圧を表す医学用語である。）
statement,声明、主張、明細書,make an official statement（公式声明を出す） 動：state  The politician made a short statement to the press.（その政治家は報道機関に対し短い声明を出した。）
material,材料、素材、資料、生地,raw material（原料） 形：物質的な、実体のある  The company makes its products with only natural materials.（その会社は天然素材だけを使って製品を作っている。）
evidence,証拠,形：evident（明らかな） 副：evidently（明らかに）  There is clear evidence that the man did not commit the crime.（その男性は罪を犯していなかったという明白な証拠がある。）
source,源、根源、情報源,a source of information（情報源） 動：を調達する  Solar power is considered to be a clean source of energy.（太陽光熱はクリーンなエネルギー源であると見なされている。）
community,共同社会、地域社会、～界,international community（国際社会）  The international community is working towards world peace.（国際社会は世界平和に向けて動いている。）
technology,科学技術、応用技術,形：technological（技術的な） high-tech（ハイテクの）  Digital technology has significantly changed people's ways of living.（デジタル技術は人々の生活様式を大いに変えた。）
culture,文化、教養,形：cultural（文化的な） 動：培養する、耕す  Chopsticks are an important part of Asian culture.（はしはアジア文化の重要な一部である。）
appropriate,適切な,It is appropriate for ~ to do（～が･･･するのは適切だ）  It is important to wear appropriate clothes for a job interview.（就職の面接に適切な服を着ることが重要だ。）
likely,ありそうな,A is likely to do（Aは･･･しそうだ） 名：likelihood（可能性）  Some people believe that AI robots are likely to replace most workers.（AIロボットが大半の労働者に取って代わりそうだと思っている人がいる。）
possible,可能な、可能性のある,It is possible for ~ to do（～が･･･することは可能だ）  Nowadays it is possible to buy almost anything on the Internet.（最近では、インターネットでほとんど何でも買うことが可能である。）
individual,個々の、個人の,名：個人、個体 名：individuality（個性）  A group is not just a collection of individual talents.（集団は単なる個々の才能の集まりではない。）
public,公の、公衆の、公開の,in public（人前で） 名：一般大衆  Our main concern is to improve public facilities in the city.（私たちの主たる関心事は市内の公共施設を改良することである。）
common,共通の、普通の、一般の,common sense（常識） have in common（共通して持つ）  The team worked towards the common goal of winning the match.（チームはその試合に勝つという共通の目標に向かって努力した。）
certain,確信して、確かな、ある一定の,be certain that...（･･･と確信している） 副：certainly  I am certain that she will get a promotion at work.（彼女は仕事で昇進すると私は確信している。）
similar,似ている、類似した,be similar to（～と似ている） 名：similarity（類似点）  His car is similar to mine in design and performance.（彼の車はデザインと性能において私の車と似ている。）
recent,最近の,副：recently（最近）  Research shows that reading habits have declined in recent years.（近年、読書の習慣が衰退してきていることを研究は示している。）
major,主要な、大きいほうの、専攻の,動：専攻する(in) 名：majority（大多数）  Economic growth is a major concern for the Japanese government.（経済成長は日本政府にとって大きな関心事である。）
patient,忍耐強い、勤勉な,名：患者 名：patience（忍耐）  You should be more patient with your children.（自分の子供に対してもっと忍耐強くあるべきだ。）
particular,特定の、特別の,in particular（特に） 副：particularly  She cannot eat a particular type of nut.（彼女はある特定の種類のナッツが食べられない。）
physical,身体の、物質的な、物理学の,名：physics（物理学） ⇔ mental  It is a good habit to get physical exercise every day.（毎日身体の運動をするのはよい習慣だ。）
various,さまざまな、いくつかの,名：variety（多様性） 動：vary（さまざまである）  There are various ways to achieve your goals.（あなたの目標を達成するさまざまな方法がある。）
available,手に入る、利用できる、手が空いている,名：availability（入手可能性）  Tickets for the concert are available on the Internet.（そのコンサートのチケットはインターネットで手に入る。）
native,出生地の、原産の、生得の,a native speaker（母語話者） be native to（～の原産である）  English is a native language for around 400 million people.（英語はおよそ4億人の人たちの母語である。）
political,政治の、政治上の,名：politics（政治） politician（政治家）  The political situation of Britain changed after World War I.（イギリスの政治情勢は第一次世界大戦後に変わった。）
due,予定された、期日で、しかるべき,be due to do（～する予定だ） due to ~（～のせいで）  The train is due to arrive at Nagoya Station in ten minutes.（列車は10分後に名古屋駅に到着する予定である。）
blank,空白の、無表情な,名：空白、余白  Write your name in the blank space at the bottom of the paper.（用紙下部の空欄に名前を記入しなさい。）
ancient,古代の、昔からの,名：古代の人 ancestor（祖先）  The Olympic Games originated in ancient times in Greece.（オリンピックは古代にギリシャで始まった。）
correct,正しい、適切な,動：を訂正する 名：correction（訂正）  You should always look for correct information before starting a report.（報告書を書く前にはいつも正しい情報を探すべきだ。）
despite,～にもかかわらず,＝in spite of（後ろに名詞句がくる） They went hiking despite the fact that a storm was coming.（嵐がやってきているという事実にもかかわらず、彼らはハイキングに出かけた。）
