no,question,answer,info
20,冬の季節風が日本海を渡る際、海面から補給されるものは何か。,水蒸気,乾いた季節風が暖かい日本海から湿気を吸収し、日本の山脈にぶつかって上昇し、雪を降らせます 。
21,春や秋に、偏西風に乗って次々に移動してくる高気圧を何というか。,移動性高気圧,ユーラシア大陸から切り離されて移動してくる高気圧です。通過後は低気圧が来るため天気が変わりやすいです 。
22,初夏のころ、停滞前線によって雨やくもりの日が続く時期を何というか。,つゆ（梅雨）,南の小笠原気団と北のオホーツク海気団の勢力が拮抗することで前線が停滞します 。+1
23,梅雨の時期にできる停滞前線を特に何というか。,梅雨前線,停滞前線の一種です。夏の小笠原気団の勢力が勝ると、前線が北上して「梅雨明け」になります 。+2
24,夏の終わりの長雨の時期にできる停滞前線を何というか。,秋雨前線,梅雨時と同じ仕組みで、夏の終わりの冷え込みとともに停滞前線ができます 。+1
25,熱帯地方で発生し、最大風速が約17m/s以上になった低気圧は？,台風,中心付近の等圧線の間隔が非常に狭く、猛烈な風と雨をもたらします。前線を伴わないのが特徴です 。+2
26,晴れた日の昼間、海から陸に向かって吹く風を何というか。,海風,陸は海より温まりやすく、陸上の気圧が下がるため、気圧の高い海側から風が吹き込みます 。
27,晴れた日の夜間、陸から海に向かって吹く風を何というか。,陸風,陸は海より冷えやすく、陸上の気圧が高くなるため、陸から海へ向かって風が吹きます 。
28,朝や夕方に、海風と陸風が入れ替わる際に風がやむ状態を何というか。,なぎ,陸上と海上の温度差が小さくなり、気圧差がなくなることで一時的に風が止まります 。
29,1㎥の空気が含むことのできる水蒸気の最大質量を何というか。,飽和水蒸気量,気温が高いほど、多くの水蒸気を含むことができます。気温が下がるとこの限界値も下がります 。+1
30,空気中の水蒸気が凝結（水滴になる）し始めるときの温度は？,露点,空気が冷やされて飽和水蒸気量に達した温度です。露点に達すると湿度は100％になります 。+1
31,飽和水蒸気量に対する、現在の水蒸気量の割合を何というか。,湿度,(現在の水蒸気量 ÷ その気温での飽和水蒸気量) × 100 で求められます 。+1
32,気圧の単位「hPa」の読み方は？,ヘクトパスカル,パスカル(Pa)は単位面積あたりの力の単位で、その100倍が「ヘクト」(h)パスカルです 。+1
33,空気が上昇して気圧が下がると、空気の体積はどうなるか。,膨張する,上空へ行くほど周りの気圧が下がるため、空気の塊は外側に押し広げられ膨らみます 。
34,上昇した空気が膨張したとき、気温はどうなるか。,下がる,空気が膨張する際に熱エネルギーを消費するため、外から熱を与えられなくても温度が下がります 。+1
35,空気が上昇し、何の温度に達すると雲ができるか。,露点,気温が下がって露点に達すると、水蒸気が凝結して小さな水滴や氷の粒になります 。+1
36,雲を構成しているものは、小さな水滴や何の粒か。,氷の粒,高度が高い場所では、水滴だけでなく氷の結晶としても存在しています。これが雲の正体です 。+1
37,周囲より気圧が高く、中心部から風が吹き出しているところは？,高気圧,北半球では中心から時計回りに風が吹き出します。下降気流が生じるため天気は晴れます 。+1
38,周囲より気圧が低く、中心部へ風が吹き込んでいるところは？,低気圧,北半球では反時計回りに風が吹き込みます。上昇気流が生じるため雲ができやすく天気が悪いです 。+1
39,1気圧は、およそ何hPaか。,約1013hPa,正確には1013.25hPaです。海面付近の平均的な気圧の大きさを基準としています 。
40,高気圧の中心付近で生じている、上空から地面に向かう気流は？,下降気流,風が四方に吹き出すため、それを補うように上空から空気が降りてきます。下降気流は温まるため雲が消えます 。+2
41,低気圧の中心付近で生じている、地面から上空に向かう気流は？,上昇気流,四方から風が集まるため、逃げ場を失った空気が上空へ昇ります。これにより雲が発達します 。+1
42,気圧の等しい地点を結んだ曲線を何というか。,等圧線,4hPaごとに実線、20hPaごとに太線で描くのが一般的です 。
43,等圧線の間隔が狭いところでは、風の強さはどうなるか。,強く吹く,間隔が狭いほど気圧の差が急激であることを示しており、空気の移動速度（風速）が速くなります 。+1
44,気象要素には、気温、湿度、気圧、風向のほかに何があるか。,風力（または風速）,風の強さは13段階の「風力」で表されます 。+1
45,冬、日本海側で大雪が降る一方、太平洋側ではどのような天気が続くか。,乾燥した晴天,日本海側に雪を降らせた後の風は、山脈を越えて乾いた状態で降りてくるため、晴天になります 。
46,気象庁が発表する情報で、「災害が発生するおそれ」がある際に出すのは？,注意報,警報より一段階低いレベルで、注意を呼びかける情報です 。+1
47,台風などの暴風雨が通過した後、北寄りの風に変わり気温が下がるのは？,寒冷前線の通過,寒冷前線が通過すると、その地域の空気が暖かい暖気から冷たい寒気に入れ替わります 。
48,災害の予想範囲や避難経路を地図にまとめたものを何というか。,ハザードマップ,自治体が作成しており、自分の住む地域の危険箇所を把握するために重要です 。
49,海水温が変化し世界的な異常気象を招く、南米ペルー沖の現象は？,エルニーニョ現象,赤道付近の東風が弱まり、冷たい海水の湧き上がりが弱まることで、海面水温が高くなる現象です 。
50,密度とは、単位体積（1㎤）あたりの何のことか。,質量,暖かい空気（暖気）は冷たい空気（寒気）に比べて膨張しているため、密度が小さく軽いです 。+1
